item_name,category,one_line,how_to_throw,caution,url
거위털이불,이불,거위털이불은 일반쓰레기로 분류하거나 대형 생활 폐기물 신고 후 버릴 수 있습니다.,"거위털이불 버리는 방법은 다음과 같습니다:
1. 소형 침구류:
홑이불, 담요, 누비이불 등은 의류수거함이나 일반쓰레기(종량제봉투)로 버려주세요.
2. 대형 침구류:
거위털이불과 같은 부피가 큰 침구류는 잘라서 일반쓰레기(종량제봉투)로 버리거나 대형 생활 폐기물로 신고 후 배출해주세요.
부피가 작은 침구류는 간편하게 버릴 수 있지만, 거위털이불과 같은 대형 침구류는 조금 더 주의가 필요합니다.
- 일반쓰레기로 배출 시에는 가능한 작게 잘라 종량제 봉투에 담아주세요.
- 대형 생활 폐기물로 배출할 시에는 지자체에 신고 후 폐기물 스티커를 받아 배출해주세요.","- 대형 생활 폐기물은 주민센터나 구청에 신고 후 웹사이트를 통해, 혹은 직접 방문해 스티커를 발급받을 수 있습니다. 📄
- 이불이 바람에 날리지 않도록 끈으로 단단히 묶거나 큰 비닐에 담아 배출하면 효과적입니다. 🌬️🔗
- 폐기물 수거 업체는 보통 1-2일 내에 수거해 가므로 미리 준비해 두는 것이 좋습니다. ⏰",unsplash_photos/img/거위털이불/10_kBJe159aoMI_c51c07e6.jpg
누비이불,이불,"누비이불은 의류수거함 또는 일반쓰레기로 처리하고, 큰 침구류는 대형 폐기물로 신고 후 버려야 합니다.","누비이불 버리는 방법은 다음과 같습니다:
1. 소형 침구류 처리:
홑이불, 담요, 누비이불 등 소형 침구류는 의류수거함에 넣거나 일반쓰레기(종량제봉투)로 처리합니다.
2. 대형 침구류 처리:
솜이불, 오리털이불, 베개 등 부피가 큰 침구류는 잘라서 일반쓰레기로 버리거나 대형 생활 폐기물로 신고한 후 배출합니다.
소형 침구류는 쉽게 버릴 수 있으나, 대형 침구류는 지자체의 규정에 따라 처리해야 하며, 이는 비용이 발생할 수 있습니다.
- 누비이불과 같은 소형 침구류는 간편하게 의류수거함을 통해 재활용할 수 있습니다.
- 대형 침구류는 잘라서 일반쓰레기로 처리하거나, 지역별 대형 폐기물 처리 절차를 따라야 합니다.","- 대형 생활 폐기물은 지자체에 신고 후 스티커를 발급받아야 하며, 처리 비용은 약 20000~40000원이 발생할 수 있습니다.
- 대형 침구류를 배출할 때는 바람에 날아가지 않도록 끈으로 단단히 묶거나 비닐에 담아서 배출하는 것이 중요합니다. 💨
- 폐기물 수거 업체는 신고 후 1-2일 이내에 수거해 가므로, 배출 시기를 적절히 조절해야 합니다. 📆",unsplash_photos/no_img/unknown.jpg
목화솜이불,이불,"목화솜이불은 작은 침구류는 의류수거함에, 큰 침구류는 잘라서 일반쓰레기로 버리거나 대형 생활 폐기물로 신고 후 배출합니다.","목화솜이불 버리는 방법은 다음과 같습니다:
1. 소형 침구류:
홑이불, 담요, 누비이불 등은 의류수거함에 넣거나 일반쓰레기로 버립니다.
2. 대형 침구류:
솜이불, 오리털이불, 베개 등은 잘라서 일반쓰레기로 버리거나 대형 생활 폐기물로 신고 후 배출합니다.
부피가 작은 침구류는 간편하게 의류수거함에 넣을 수 있으며, 부피가 큰 침구류는 적절한 처리를 위해 잘라서 일반쓰레기로 배출하거나 대형 생활 폐기물로 신고해야 합니다.
- 소형 침구류는 쉽고 빠르게 처리할 수 있습니다.
- 대형 침구류는 적절한 준비와 신고 과정이 필요합니다.","- 대형 생활 폐기물 신고는 주민센터, 구청 등 지자체를 통해 이루어집니다. 💼
- 폐기물 스티커를 인쇄하거나 발급받아야 합니다. 🏷️
- 이불이 바람에 날리지 않도록 잘 포개고 끈으로 묶거나 비닐에 담아 배출하세요. 🌬️🛏️",unsplash_photos/img/목화솜이불/10_GWnX737sSjE_e6905ba4.jpg
오리털이불,이불,오리털이불은 대형 폐기물 신고 후 배출하거나 일반 쓰레기로 분리하여 버릴 수 있습니다.,"오리털이불 버리는 방법은 다음과 같습니다:
1. 작은 침구류:
홑이불, 담요, 누비이불 등은 의류수거함에 넣거나 일반 쓰레기로 버려요.
2. 큰 침구류:
오리털이불, 솜이불, 베개 등은 잘라서 일반 쓰레기로 버리거나 대형 생활 폐기물로 신고 후 배출해주세요.
- 대형 생활 폐기물로 신고 시 주민센터나 구청을 통해 처리합니다.
- 오리털이불은 바람에 날아가지 않도록 단단히 묶어서 배출하세요.","- 대형 생활 폐기물 신고 시 웹사이트나 직접 방문을 통해 스티커를 발급받을 수 있습니다. ✅
- 정해진 처리비용을 지불하고, 1-2일 내에 수거해 갑니다. 💰
- 오리털이불을 버릴 때는 환경 보호를 위해 적절한 방법을 선택하는 것이 중요합니다. 🌏",unsplash_photos/img/오리털이불/01_Ji47cw5oZSw_c0b0648d.jpg
커튼,기타,"커텐을 버릴 때는 부속품을 분리하고, 상태가 좋으면 의류수거함에, 그렇지 않으면 일반쓰레기로 배출합니다.","커텐 버리는 방법은 다음과 같습니다:
1.부속품 분리:
커텐에 부착된 부속품들을 모두 분리하세요.
2.소재별 분리 배출:
분리된 부속품은 소재에 맞게 분리 배출합니다 (예: 금속부 – 고철, 천 – 일반쓰레기 등).
3.일반쓰레기 배출:
커텐 본체는 일반쓰레기(종량제 봉투)에 배출합니다.
4.의류수거함 배출:
상태가 양호한 커텐은 의류수거함으로 배출이 가능합니다.
5.대형 폐기물 신고:
종량제 봉투에 들어가지 않을 정도로 큰 커텐은 대형 생활 폐기물로 신고 후 배출합니다.
6.지역별 배출 방법 확인:
배출 방법은 지역별로 다를 수 있으니, 해당 지자체에 문의하세요.
- 커텐을 버릴 때는 부속품을 분리하고, 상태가 좋으면 의류수거함에, 그렇지 않으면 일반쓰레기로 배출합니다.
- 큰 커텐은 대형 폐기물로 신고한 다음에 버려야 합니다.
- 지역별로 배출 방법이 다를 수 있으니, 주민센터 등에 문의해야 합니다.","- 커텐과는 달리 블라인드와 버티컬은 재활용이 불가능하며, 일반쓰레기로 처리해야 합니다. 🌿",unsplash_photos/img/커튼/08_C-uP76eOHTk_eacac51f.jpg
코트,아우터,"코트를 버릴 때 상태를 고려하여 의류 수거함, 종량제 봉투를 사용하거나 기부하는 방법이 있습니다.","코트 버리는 방법은 다음과 같습니다:
1. 의류 수거함 이용:
깨끗하고 다른 사람이 입을 수 있는 코트는 가까운 의류 수거함에 배출합니다.
2. 종량제 봉투 사용:
찢어지거나 오염이 심해 입을 수 없는 코트는 일반 쓰레기로 분류하여 종량제 봉투에 버립니다.
코트의 상태를 확인하여 상태가 좋다면 의류 수거함을, 그렇지 않다면 종량제 봉투를 사용하는 것이 중요합니다.
- 의류 수거함을 이용하면 재사용이 가능합니다.
- 종량제 봉투를 사용할 때는 해당 지역의 쓰레기 배출 규정을 준수해야 합니다.","- 많은 양의 코트를 처분할 때는 의류 수거 업체에 연락하여 무게에 따라 보상을 받을 수 있습니다. 📦
- 기부를 통해 국내 소외계층이나 해외 빈곤 지역에 도움을 줄 수 있습니다. 💖
- 의류뿐만 아니라 모자, 안경, 가방 등 다양한 아이템의 버리는 방법을 숙지하는 것이 환경 보호에 기여합니다. 🌍",unsplash_photos/img/코트/10_IfYu591uS8A_50f8d919.jpg
쿠션,기타,"쿠션은 재활용이 불가능하므로 일반 쓰레기로 배출하며, 대형 폐기물의 경우 지자체를 통해 신고 후 배출해야 합니다.","쿠션 버리는 방법은 다음과 같습니다:
1. 일반쓰레기로 배출:
방석 종류에 상관없이 모두 종량제 봉투에 넣어 일반 쓰레기로 배출해주세요.
2. 대형 폐기물 신고:
부피가 크거나 양이 많은 경우, 주민센터나 구청을 통해 대형생활폐기물로 신고하고 배출해주세요.
3. 의류수거함 사용 금지:
방석은 의류수거함 품목이 아니므로, 의류수거함에 배출하지 말아야 합니다.
이러한 방법을 통해 쿠션을 정확하고 책임감 있게 폐기할 수 있습니다. 이는 환경 보호에도 기여하는 중요한 행위입니다.
- 모든 종류의 방석은 일반 쓰레기로 분류되므로, 적절한 크기의 종량제 봉투를 사용해야 합니다.
- 대형 폐기물은 사전에 신고하지 않고 배출하면 벌금이 부과될 수 있으니 주의가 필요합니다. 🚨","- 방석의 속재료는 재활용이 어려운 다양한 재질로 구성되어 있습니다.
- 잘못된 방법으로 폐기할 경우 환경오염을 유발할 수 있으므로 정확한 방법을 숙지하는 것이 중요합니다. 🌱
- 일반 쓰레기로 분류되어 재활용이 어려운 방석은 책임감 있는 폐기를 통해 환경 보호에 기여할 수 있습니다. 💚",unsplash_photos/img/쿠션/02_UC2M_SdOUUA_3088bd7b.jpg
크로스백,가방,"올바른 크로스백 처리를 위해 재질에 따라 분류하여 배출하고, 재활용이 어려운 가죽 가방은 일반쓰레기로 처리하세요.","크로스백 버리는 방법은 다음과 같습니다:
1. 재질 확인:
가방의 재질을 확인하여 의류수거함 또는 일반쓰레기로 분류합니다.
2. 상태 점검:
천 가방은 사용 가능 상태인 경우 의류수거함으로, 그렇지 않으면 일반쓰레기로 배출합니다.
3. 가죽 가방:
가죽 가방은 재활용이 어렵기 때문에 일반쓰레기로 배출합니다.
4. 분리 배출:
지퍼 등 철 재질은 분리하여 배출합니다.
- 가방의 재질에 따라 적절한 배출 방법을 택합니다.
- 의류수거함에 배출할 때는 상태가 쓸 만한지 확인합니다.
- 가죽 가방은 어떠한 경우에도 일반쓰레기로 분류합니다.
- 철 재질은 가능한 떼어내어 분리 배출하는 것이 좋습니다.","- 의류수거함은 수거 업체에 따라 가방을 받지 않을 수 있습니다.
- 가방을 배출하기 전에 의류수거함 안내 문구를 확인하여 수거 가능 여부를 확인하세요.
- 재질을 올바르게 분류하면 환경 보호에 기여할 수 있습니다.",unsplash_photos/img/크로스백/10_ZRuHAyXgyxU_e813d8d7.jpg
크록스,신발,크록스 신발은 재사용 가능 여부에 따라 의류수거함이나 일반쓰레기로 올바르게 배출하는 방법이 있습니다.,"크록스 버리는 방법은 다음과 같습니다:
1. 재사용 가능한 크록스:
깨끗하고 다른 사람이 신을 수 있는 상태의 크록스는 가까운 의류수거함에 배출하세요.
2. 재사용 불가능한 크록스:
심하게 오염되었거나 손상된 크록스는 일반쓰레기(종량제봉투)로 버려야 합니다.
재사용 가능한 크록스는 다른 이들이 재사용할 수 있도록 의류수거함에 넣는 것이 좋으며, 그렇지 못한 경우 적절한 폐기 방법을 따라야 합니다.
- 깨끗한 신발은 의류수거함을 통해 재사용할 수 있도록 합니다.
- 손상되거나 심하게 오염된 신발은 일반쓰레기로 처리해야 합니다.","- 의류수거함에 신발을 배출할 때는 두 짝이 분리되지 않도록 비닐봉지에 담거나 끈으로 묶어 배출하세요. 🎀
- 종량제 봉투에 10켤레 이상의 신발을 버릴 경우 수거되지 않을 수 있으므로 주의하세요. ⚠️
- 여러 켤레의 신발을 버릴 때는 마대 재질의 불연성 쓰레기 봉투를 사용하는 것이 좋습니다. 🗑️",unsplash_photos/img/크록스/05_7GI2sDyFTrM_47d1597e.jpg
대형가방,가방,큰가방은 대형 생활 폐기물로 분류되어 적절한 신고 절차를 통해 배출해야 합니다.,"큰가방 버리는 방법은 다음과 같습니다:
1.대형 생활 폐기물 신고:
주민센터나 구청을 통해 큰가방을 대형 생활 폐기물로 신고합니다.
2.폐기물 스티커 발급:
신고 후 폐기물 수거 스티커를 인쇄하거나 발급받습니다.
가방의 재질에 따라 분리 배출이 어려운 경우, 정해진 절차에 따라 대형 생활 폐기물로 신고하고, 폐기 스티커를 부착한 후 지정된 장소에 배출합니다.
- 무단 투기는 과태료 부과의 대상이 되므로, 규정을 준수하며 버리는 것이 중요합니다.
- 수거 업체는 신고된 폐기물을 1-2일 내에 수거해 갑니다.","- 올바른 폐기 방법을 따르면 환경 보호에 기여할 수 있습니다. 🌱
- 규정을 지키는 것은 법적인 문제를 예방하는 데 도움이 됩니다. ⚖️
- 지역사회의 청결을 유지하는 데 기여합니다. 🏙️",unsplash_photos/img/대형가방/01_G5JD3lOPf00_2fb68049.jpg
